2026-05-17 12:41:40,732 | Training | INFO | LDA Model Perplexity: 5111.76257500974
2026-05-17 12:41:40,750 | Training | INFO | saving LDA model perplexity score to file
2026-05-17 12:41:40,751 | Training | INFO | Calculating LDA model coherence score
2026-05-17 19:31:25,018 | Main Runner | INFO | Starting the Model building and Training Pipeline
2026-05-17 19:31:25,018 | PipelineRunner | INFO | Starting pipeline run
2026-05-17 19:31:25,018 | PipelineRunner | INFO | Loading data
2026-05-17 19:31:26,648 | PipelineRunner | INFO | Data loaded successfully
2026-05-17 19:31:26,648 | PipelineRunner | INFO | Multilingual setting: False
2026-05-17 19:31:26,698 | PipelineRunner | INFO | No translation needed using original text
2026-05-17 19:31:26,699 | PipelineRunner | INFO | Scoring sentiment based on original labels
2026-05-17 19:31:26,718 | PipelineRunner | INFO | Sentiment scoring completed
2026-05-17 19:31:26,719 | PipelineRunner | INFO | Running Roberta sentiment analysis pipeline
2026-05-17 19:31:26,719 | Sentiment PipelineBuilder | INFO | Building Roberta sentiment analysis pipeline
2026-05-17 19:31:26,719 | Sentiment PipelineBuilder | INFO | Roberta sentiment analysis pipeline built successfully
2026-05-17 19:31:26,720 | PipelineRunner | INFO | Training and saving Roberta sentiment pipeline
2026-05-17 19:31:26,720 | Training | INFO | Starting sentiment pipeline training
2026-05-17 21:55:18,226 | Training | INFO | Sentiment pipeline fitted successfully, calculating accuracy score and classification report
2026-05-17 21:55:18,478 | Training | INFO | Sentiment Model Accuracy Score: 0.6714318711336065
2026-05-17 21:55:18,487 | Training | INFO | Saved sentiment accuracy score to file
2026-05-17 21:55:20,037 | Training | INFO | Saved sentiment classification report to file
2026-05-17 21:55:22,076 | Training | INFO | Saved sentiment confusion matrix to file
2026-05-17 21:55:22,082 | Training | INFO | Sentiment model saved successfully
2026-05-17 21:55:22,082 | Training | INFO | saving the sentiment data with predictions to file
2026-05-17 21:55:24,586 | Training | INFO | Sentiment data with predictions saved successfully
2026-05-17 21:55:24,586 | Training | INFO | Sentiment model training completed successfully
2026-05-17 21:55:26,318 | PipelineRunner | INFO | Roberta sentiment pipeline trained and saved successfully
2026-05-17 21:55:26,319 | PipelineRunner | INFO | Running LDA topic modeling pipeline
2026-05-17 21:55:26,319 | PipelineRunner | INFO | LDA parameters - maxdf: 0.9, mindf: 5, number of topics: 19, learning method: batch
2026-05-17 21:55:26,319 | PipelineRunner | INFO | Building LDA pipeline
2026-05-17 21:55:26,319 | LDA PipelineBuilder | INFO | Building LDA topic modeling pipeline
2026-05-17 21:55:26,319 | LDA PipelineBuilder | INFO | LDA pipeline built successfully
2026-05-17 21:55:26,319 | PipelineRunner | INFO | LDA pipeline built successfully
2026-05-17 21:55:26,328 | PipelineRunner | INFO | Training LDA pipeline
2026-05-17 21:55:26,329 | Training | INFO | Starting LDA model training
2026-05-17 21:55:29,920 | Training | INFO | Fitting LDA pipeline to the data
2026-05-17 21:59:00,801 | Training | INFO | LDA pipeline fitted successfully, calculating perplexity and coherence scores
2026-05-17 22:00:27,849 | Training | INFO | LDA Model Perplexity: 5111.76257500974
2026-05-17 22:00:27,850 | Training | INFO | saving LDA model perplexity score to file
2026-05-17 22:00:27,850 | Training | INFO | Calculating LDA model coherence score
2026-05-17 22:35:16,532 | Main Runner | INFO | Starting the Model building and Training Pipeline
2026-05-17 22:35:16,532 | PipelineRunner | INFO | Starting pipeline run
2026-05-17 22:35:16,532 | PipelineRunner | INFO | Loading data
2026-05-17 22:35:17,872 | PipelineRunner | INFO | Data loaded successfully
2026-05-17 22:35:17,872 | PipelineRunner | INFO | Multilingual setting: False
2026-05-17 22:35:17,913 | PipelineRunner | INFO | No translation needed using original text
2026-05-17 22:35:17,915 | PipelineRunner | INFO | Scoring sentiment based on original labels
2026-05-17 22:35:17,933 | PipelineRunner | INFO | Sentiment scoring completed
2026-05-17 22:35:17,933 | PipelineRunner | INFO | Running Roberta sentiment analysis pipeline
2026-05-17 22:35:17,933 | Sentiment PipelineBuilder | INFO | Building Roberta sentiment analysis pipeline
2026-05-17 22:35:17,934 | Sentiment PipelineBuilder | INFO | Roberta sentiment analysis pipeline built successfully
2026-05-17 22:35:17,934 | PipelineRunner | INFO | Training and saving Roberta sentiment pipeline
2026-05-17 22:35:17,934 | Training | INFO | Starting sentiment pipeline training
2026-05-18 01:02:19,675 | Training | INFO | Sentiment pipeline fitted successfully, calculating accuracy score and classification report
2026-05-18 01:02:19,870 | Training | INFO | Sentiment Model Accuracy Score: 0.6714318711336065
2026-05-18 01:02:19,873 | Training | INFO | Saved sentiment accuracy score to file
2026-05-18 01:02:21,454 | Training | INFO | Saved sentiment classification report to file
2026-05-18 01:02:22,584 | Training | INFO | Saved sentiment confusion matrix to file
2026-05-18 01:02:22,588 | Training | INFO | Sentiment model saved successfully
2026-05-18 01:02:22,588 | Training | INFO | saving the sentiment data with predictions to file
2026-05-18 01:02:25,162 | Training | INFO | Sentiment data with predictions saved successfully
2026-05-18 01:02:25,163 | Training | INFO | Sentiment model training completed successfully
2026-05-18 01:02:25,164 | PipelineRunner | INFO | Roberta sentiment pipeline trained and saved successfully
2026-05-18 01:02:25,164 | PipelineRunner | INFO | RoBERTa unloaded, memory freed before LDA
2026-05-18 01:02:25,272 | Sentiment PipelineBuilder | INFO | RoBERTa model unloaded from memory
2026-05-18 01:02:26,615 | PipelineRunner | INFO | Running LDA topic modeling pipeline
